P_bar,z_m,Kz_cm2_s,LHF,qt,qc,ndz_cm3,rg_cm,reff_cm,rw_cm
1.81000e+01,1.00845e+05,3.21002e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.83000e+01,1.00078e+05,3.21246e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.85000e+01,9.93257e+04,3.21487e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.87000e+01,9.85866e+04,3.21727e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.89000e+01,9.78607e+04,3.21961e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.91000e+01,9.71477e+04,3.22196e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.93000e+01,9.64472e+04,3.22430e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.95000e+01,9.57589e+04,3.22655e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.97000e+01,9.50824e+04,3.22886e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.99000e+01,9.44174e+04,3.23108e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.01000e+01,9.37636e+04,3.23333e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.03000e+01,9.31207e+04,3.23552e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.05000e+01,9.24884e+04,3.23771e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.07000e+01,9.18664e+04,3.23988e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.09000e+01,9.12545e+04,3.24204e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.11000e+01,9.06525e+04,3.24415e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.13000e+01,9.00600e+04,3.24627e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.15000e+01,8.94768e+04,3.24836e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.17000e+01,8.89027e+04,3.25045e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.19000e+01,8.83375e+04,3.25247e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.21000e+01,8.77810e+04,3.25454e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.23000e+01,8.72329e+04,3.25655e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.25000e+01,8.66930e+04,3.25855e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.27000e+01,8.61612e+04,3.26053e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.29000e+01,8.56373e+04,3.26251e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.31000e+01,8.51210e+04,3.26446e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.33000e+01,8.46123e+04,3.26639e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.35000e+01,8.41109e+04,3.26835e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.37000e+01,8.36166e+04,3.27021e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.39000e+01,8.31266e+04,3.27213e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.41000e+01,8.26476e+04,3.27416e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.43000e+01,8.21753e+04,3.27585e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
